video_channelSubscriber,video_viewCount,video_likeCount,video_commentCount,video_num_tag,video_title_len,video_description_len,total_hour_mv_teaser_publish,total_day_mv_published,video_viewCount_mv_official
31100000,1069501.0,57982.0,3399.0,25.0,36,427.0,25.000555555555554,2094.0,22906132.0
31100000,1634693.0,85633.0,7214.0,25.0,36,426.0,49.0,2094.0,22906132.0
31100000,212117.0,14647.0,408.0,37.0,57,478.0,23.99888888888889,2103.0,1012618.0
31100000,445624.0,26244.0,1018.0,42.0,59,480.0,23.999444444444446,2103.0,27105106.0
31100000,145643.0,11465.0,278.0,37.0,57,479.0,25.0,2103.0,1012618.0
31100000,381034.0,24695.0,1057.0,42.0,59,481.0,25.0,2103.0,27105106.0
31100000,189005.0,13235.0,1323.0,13.0,39,545.0,47.9925,2121.0,3137272.0
31100000,391784.0,18543.0,952.0,37.0,38,393.0,6.999444444444444,2126.0,18120758.0
31100000,602371.0,39769.0,2954.0,37.0,38,393.0,47.99944444444444,2126.0,18120758.0
31100000,50629.0,2208.0,110.0,13.0,51,555.0,36.007777777777775,2130.0,198705.0
31100000,241973.0,8884.0,446.0,26.0,27,325.0,47.99888888888889,2142.0,2130269.0
31100000,456465.0,14561.0,920.0,26.0,37,335.0,83.99944444444445,2141.0,5229851.0
31100000,224705.0,11096.0,681.0,13.0,75,723.0,47.999722222222225,2151.0,2445524.0
31100000,43783.0,2084.0,142.0,14.0,55,360.0,115.99972222222222,2149.0,132050.0
31100000,1548466.0,130417.0,7786.0,46.0,27,395.0,23.99972222222222,2155.0,31280479.0
31100000,84944.0,2682.0,162.0,15.0,46,632.0,7.0008333333333335,2158.0,884178.0
31100000,966990.0,52811.0,3905.0,10.0,40,710.0,48.00111111111111,2172.0,10441978.0
31100000,681555.0,51441.0,3583.0,42.0,41,404.0,33.004444444444445,2189.0,26076745.0
31100000,161966.0,12853.0,703.0,29.0,38,406.0,36.00055555555556,2194.0,2749573.0
31100000,232358.0,19983.0,1649.0,26.0,39,407.0,59.00055555555556,2194.0,3986611.0
31100000,325153.0,15016.0,1128.0,19.011019283746556,59,791.0,36.000277777777775,2200.0,12011197.0
31100000,69027.0,3400.0,290.0,17.0,34,335.0,29.99972222222222,2201.0,374638.0
31100000,1118882.0,67751.0,3799.0,28.0,28,372.0,23.817777777777778,2202.0,69462032.0
31100000,2034568.0,140684.0,11861.0,31.0,35,484.0,24.00027777777778,2204.0,70797828.0
31100000,220547.0,10352.0,1020.0,15.0,67,605.0,29.99972222222222,2207.0,560424.0
31100000,791348.0,73477.0,4686.0,19.0,36,402.0,47.99861111111111,2207.0,11709563.0
31100000,193306.0,12553.0,636.0,7.0,44,616.0,12.001944444444444,2221.0,2456769.0
31100000,194722.0,4268.0,525.0,19.011019283746556,36,536.0,144.00055555555556,2263.0,2435453.0
31100000,782136.0,26912.0,3212.0,8.0,61,715.0,57.99944444444444,2270.0,6127908.0
31100000,60784.0,2776.0,166.0,19.011019283746556,36,631.9834394904459,47.999722222222225,2286.0,393541.0
31100000,84807.0,3871.0,409.0,10.0,41,346.0,12.0,2287.0,719158.0
31100000,237555.0,14981.0,3011.0,16.0,41,341.0,84.00055555555555,2308.0,1473061.0
31100000,193444.0,13979.0,1360.0,5.0,53,353.0,35.99194444444444,2313.0,652708.0
31100000,347296.0,15011.0,1446.0,15.0,61,366.0,84.00083333333333,2315.0,1851846.0
31100000,285559.0,9464.0,791.0,9.0,59,601.0,36.000277777777775,2319.0,772905.0
31100000,1270799.0,69897.0,8668.0,30.0,44,434.0,35.99944444444444,2320.0,41602116.0
31100000,404927.0,17336.0,1333.0,14.0,57,653.0,48.00111111111111,2326.0,1298187.0
31100000,712546.0,30939.0,1439.0,37.0,28,364.0,14.000555555555556,2329.0,76236242.0
31100000,778352.0,38428.0,1932.0,37.0,28,365.0,38.00055555555556,2329.0,76236242.0
31100000,919179.0,44382.0,3394.0,36.0,45,381.0,14.000277777777777,2332.0,46160846.0
31100000,74561.0,2853.0,179.0,6.0,71,604.0,48.00055555555556,2333.0,252919.0
31100000,1003573.0,38736.0,2501.0,25.0,72,781.0,72.00055555555555,2347.0,15768225.0
31100000,4659496.0,216741.0,26521.0,43.0,28,430.0,122.99972222222222,2348.0,78105599.0
31100000,364707.0,16743.0,1438.0,20.0,33,330.0,24.00027777777778,2357.0,13805243.0
31100000,1536503.0,67638.0,5669.0,36.0,42,396.0,24.28638888888889,2377.0,27550429.0
31100000,308541.0,26893.0,3028.0,32.0,39,388.0,10.000277777777777,2399.0,9088256.0
31100000,1060110.0,44904.0,3056.0,39.0,35,417.0,46.000277777777775,2408.0,23519969.0
31100000,337114.0,22784.0,1691.0,16.0,38,2338.0,50.00055555555556,2424.0,7893632.0
31100000,1273240.0,41774.0,2546.0,36.0,55,524.0,48.0,2432.0,28636898.0
31100000,609334.0,36147.0,1636.0,41.0,39,414.0,134.00027777777777,2455.0,15273529.0
31100000,884809.0,43796.0,1700.0,28.0,30,416.0,84.00055555555555,2475.0,56439378.0
31100000,2445202.0,87785.0,4267.0,27.0,30,416.0,151.00055555555556,2475.0,56439378.0
31100000,436515.0,38308.0,3492.0,31.0,48,466.0,60.00055555555556,2481.0,7334643.0
31100000,1237259.0,85011.0,5779.0,54.0,31,571.0,24.000833333333333,2530.0,42464268.0
31100000,1137425.0,37034.0,1434.0,46.0,56,589.0,36.0,2536.0,17272354.0
31100000,1287489.0,56298.0,3351.0,47.0,56,589.0,77.0,2536.0,17272354.0
31100000,1060633.0,52539.0,3539.0,25.0,29,341.0,24.0,2574.0,45430498.0
31100000,309434.0,18759.0,929.0,16.0,48,440.0,36.00055555555556,2586.0,11570949.0
31100000,274922.0,18988.0,1036.0,14.0,48,440.0,60.000277777777775,2586.0,11570949.0
31100000,1013377.0,57448.0,4322.0,21.0,36,504.0,48.00833333333333,2615.0,31933654.0
31100000,3318871.0,92093.0,5549.0,37.0,44,483.0,72.00083333333333,2643.0,49391488.0
31100000,3487520.0,95152.0,7490.0,30.0,45,484.0,83.99972222222222,2644.0,133959768.0
31100000,856811.0,32251.0,1308.0,11.0,43,368.0,36.0,2659.0,19857161.0
31100000,356957.0,16370.0,760.0,14.0,55,408.0,30.00027777777778,2672.0,4940624.0
31100000,1513722.0,78721.0,5346.0,22.0,36,490.0,108.83361111111111,2677.0,21383999.0
31100000,4731896.0,93552.0,5905.0,33.0,40,487.0,99.0,2685.0,118148991.0
31100000,2861645.0,137837.0,7493.0,37.0,32,653.0,24.0,2720.0,138284288.0
31100000,468195.0,23164.0,1017.0,17.0,59,432.0,21.001944444444444,2770.0,5238432.0
31100000,3307990.0,130439.0,3675.0,19.011019283746556,42,433.0,47.99194444444444,2799.0,133075216.0
31100000,536011.0,27600.0,1517.0,22.0,64,559.0,60.0025,2809.0,22439566.0
31100000,622569.0,37060.0,1906.0,24.0,64,559.0,76.00222222222222,2809.0,22439566.0
31100000,528803.0,29695.0,1522.0,24.0,45,342.0,38.99611111111111,2921.0,15026971.0
31100000,639462.0,26353.0,2173.0,48.0,46,802.0,24.005,2935.0,7059521.0
31100000,474891.0,21412.0,1414.0,48.0,52,809.0,24.004722222222224,2935.0,4696920.0
31100000,339435.0,10814.0,762.0,30.0,40,446.0,29.00138888888889,2942.0,1127020.0
31100000,909454.0,43844.0,3253.0,41.0,62,471.0,46.0,2943.0,34153035.0
31100000,330287.0,10204.0,702.0,14.0,39,336.0,42.99944444444444,2970.0,983223.0
31100000,270455.0,11362.0,1384.0,28.0,53,440.0,167.9947222222222,2973.0,936082.0
31100000,2231968.0,62808.0,5296.0,47.0,49,449.0,49.495,2979.0,28730675.0
31100000,2073578.0,96587.0,16995.0,47.0,48,486.0,29.0,2998.0,106697326.0
31100000,1942339.0,100243.0,27383.0,49.0,48,486.0,76.99972222222222,2998.0,106697326.0
31100000,1670306.0,62402.0,6080.0,28.0,33,419.0,96.39944444444444,3011.0,33330278.0
31100000,2953594.0,84608.0,9588.0,29.0,42,44.0,167.00277777777777,3023.0,110075404.0
31100000,996558.0,35209.0,3651.0,23.0,50,964.0,252.0011111111111,3021.0,1972676.0
31100000,585517.0,29268.0,1817.0,25.0,30,292.0,51.99722222222222,3046.0,24964176.0
31100000,1425115.0,44465.0,3229.0,34.0,31,322.0,36.00833333333333,3055.0,50014659.0
31100000,3076327.0,93246.0,7219.0,61.0,34,493.0,604.4822222222223,3112.0,30259043.0
31100000,644323.0,20544.0,2039.0,28.0,40,577.0,28.90972222222222,3181.0,9029180.0
31100000,753231.0,28616.0,2142.0,29.0,32,353.0,143.0036111111111,3237.0,18012025.0
31100000,551529.0,32286.0,3098.0,48.0,56,364.0,15.991388888888888,3253.0,9983438.0
31100000,900979.0,36386.0,4868.0,34.0,32,315.0,47.49916666666667,3320.0,46875734.0
31100000,674209.0,30397.0,3519.0,32.0,56,254.0,55.992777777777775,3370.0,13064467.0
31100000,2596057.0,40084.0,9769.0,29.0,45,286.0,49.96888888888889,3398.0,68243501.0
31100000,1170007.0,37253.0,10741.0,26.0,38,506.0,90.49444444444444,3488.0,23362141.0
31100000,867419.0,27365.0,6950.0,29.0,33,526.0,25.085833333333333,3553.0,24539289.0
31100000,2082709.0,50622.0,13809.0,37.0,45,416.0,160.0325,3596.0,40441150.0
31100000,1154240.0,25038.0,3761.0,29.0,32,397.0,168.00555555555556,3638.0,10318962.0
31100000,1467499.0,35863.0,8463.0,32.0,33,531.0,112.04416666666667,3665.0,19759374.0
31100000,1653638.0,32097.0,7847.0,22.0,31,356.0,78.0,3701.0,35007654.0
31100000,3256861.0,58127.0,23944.0,40.0,34,458.0,234.92944444444444,3744.0,41887666.0
31100000,4466330.0,82785.0,51456.0,46.0,50,494.0,92.57611111111112,3785.0,79204078.0
31100000,4221885.0,34323.0,9644.0,32.0,36,322.0,72.99777777777778,3806.0,139083295.0
31100000,3267150.0,31957.0,6782.0,42.0,44,279.0,373.7266666666667,3803.0,75016996.0
31100000,2241664.0,38142.0,18069.0,29.0,48,329.0,89.02,3887.0,43998647.0
31100000,338292.0,6623.0,1251.0,14.0,29,238.0,50.61555555555555,4021.0,3091922.0
31100000,2306859.0,32440.0,9705.0,38.0,36,481.0,74.13833333333334,4065.0,39534196.0
31100000,3093195.0,17572.0,5118.0,26.0,43,912.0,26.41027777777778,4112.0,19249399.0
31100000,90722.0,1465.0,23.0,34.0,53,369.0,-831.3888888888889,4181.0,4727942.0
31100000,53291.0,1484.0,44.0,22.0,49,338.0,-820.4680555555556,4181.0,7496281.0
31100000,92177.0,1972.0,51.0,22.0,37,318.0,-0.1125,4147.0,11317561.0
31100000,687014.0,3126.0,766.0,14.0,54,280.0,44.69833333333333,4145.0,2416072.0
31100000,2377832.0,17039.0,3768.0,24.0,32,387.0,97.71305555555556,4166.0,66442959.0
31100000,2313049.0,16085.0,3947.0,22.0,35,350.0,92.6925,4226.0,47606148.0
31100000,858245.0,8440.0,1412.0,19.0,46,315.0,114.9186111111111,4261.0,5696674.0
31100000,2296081.0,14127.0,5979.0,9.0,28,450.0,105.92527777777778,4422.0,82538938.0
31100000,193223.0,1429.0,342.0,2.0,27,150.0,32.57555555555555,4446.0,1204599.0
31100000,313946.0,1744.0,346.0,12.0,47,256.0,72.2688888888889,4455.0,1949889.0
31100000,1483711.0,13276.0,3120.0,9.0,45,482.0,121.94472222222223,4568.0,142724271.0
31100000,1492683.0,10797.0,1066.0,5.0,55,521.0,42.99861111111111,4624.0,119605228.0
31100000,7767284.0,22342.0,1411.0,6.0,38,487.0,116.79166666666667,4673.0,139954200.0
31100000,90741.0,730.0,167.0,19.011019283746556,44,253.0,144.0263888888889,4672.0,1084187.0
31100000,30545.0,245.0,37.0,2.0,37,188.0,44.775555555555556,4729.0,58693.0
31100000,575549.0,3288.0,426.0,11.0,27,319.0,24.357777777777777,4755.0,19348092.0
31100000,108069.0,478.0,161.0,9.0,45,178.0,95.99138888888889,4773.0,299507.0
31100000,124799.0,1383.0,98.0,4.0,36,158.0,218.9338888888889,4770.0,2924096.0
31100000,884588.0,2737.0,155.0,5.0,49,308.0,217.69416666666666,4770.0,14256797.0
31100000,411284.0,3361.0,479.0,7.0,37,354.0,62.8525,4819.0,20344081.0
26000000,217461.0,52290.0,1444.0,15.0,38,691.0,61.899166666666666,2.0,3395879.0
26000000,306259.0,65218.0,1862.0,15.0,38,691.0,85.89944444444444,2.0,3395879.0
26000000,2205102.0,353476.0,12179.0,54.0,34,782.0,84.99972222222222,37.0,54308696.0
26000000,1365276.0,289393.0,7272.0,55.0,34,782.0,108.99944444444445,37.0,54308696.0
26000000,2501717.0,229816.0,5615.0,30.0,25,631.0,65.99194444444444,54.0,61914191.0
26000000,2500271.0,275545.0,6606.0,30.0,23,629.0,90.0038888888889,54.0,61914191.0
26000000,143841.0,14342.0,381.0,14.0,33,479.0,35.99916666666667,68.0,354774.0
26000000,140934.0,18334.0,954.0,75.0,27,488.0,23.998055555555556,71.0,991256.0
26000000,262623.0,30745.0,1571.0,75.0,27,488.0,47.99472222222222,71.0,991256.0
26000000,90859.0,12764.0,179.0,75.0,33,494.0,71.99555555555555,71.0,991256.0
26000000,72892.0,8829.0,172.0,2.0,34,495.0,95.99694444444444,71.0,991256.0
26000000,217062.0,31976.0,1193.0,24.0,40,484.0,23.99277777777778,74.0,1357200.0
26000000,60344.0,8439.0,251.0,75.0,36,497.0,120.00027777777778,71.0,991256.0
26000000,234946.0,34694.0,1371.0,24.0,40,484.0,47.99527777777778,74.0,1357200.0
26000000,78691.0,11492.0,377.0,75.0,34,495.0,143.99416666666667,71.0,991256.0
26000000,82197.0,11657.0,309.0,75.0,36,497.0,167.99694444444444,71.0,991256.0
26000000,172494.0,18920.0,690.0,75.0,36,515.0,191.91472222222222,71.0,991256.0
26000000,3162995.0,313517.0,31583.0,34.0,35,710.0,37.0025,79.0,104387297.0
26000000,5111873.0,493891.0,53182.0,34.0,35,710.0,61.00222222222222,79.0,104387297.0
26000000,281135.0,57405.0,1402.0,17.0,37,687.0,41.90277777777778,115.0,3801033.0
